title,subtitle,authors,categories,published_year,average_rating,num_pages,ratings_count
The Odyssey,,Homer;George Herbert Palmer,Poetry,1998.0,3.75,239.0,236.0
The Wit and Wisdom of Mark Twain,A Book of Quotations,Mark Twain,Literary Criticism,1998.0,4.2,64.0,934.0
An Ideal Husband,,Oscar Wilde,Humor,2001.0,4.04,78.0,32213.0
Politics,,Aristotle;Benjamin Jowett;H. W. C. Davis,Political Science,2000.0,3.93,368.0,25018.0
The Canterville Ghost and Other Stories,,Oscar Wilde,Fiction,2001.0,3.93,120.0,1653.0
The House of Mirth,,Edith Wharton,Fiction,2002.0,3.95,272.0,743.0
Life is a Dream,,Pedro Calderón de la Barca;Stanley Appelbaum,Drama,2002.0,3.98,96.0,341.0
Letters to a Young Poet,,Rainer Maria Rilke;Franz Xaver Kappus;Reginald Snell,Poetry,2002.0,4.33,80.0,30561.0
Oliver Twist,,Charles Dickens,Fiction,2002.0,3.86,368.0,2062.0
Howards End,,E. M. Forster,Fiction,2002.0,3.96,246.0,54709.0
Women in Love,,D. H. Lawrence,Fiction,2003.0,3.66,416.0,23892.0
The Trojan Women and Hippolytus,,Euripides,Drama,2002.0,3.56,64.0,31.0
Life Is a Dream/La Vida Es Sueño,A Dual-Language Book,Pedro Calderon de la Barca;Stanley Appelbaum,Foreign Language Study,2002.0,3.98,208.0,52.0
The Pilgrim's Progress,,John Bunyan,Fiction,2003.0,3.99,324.0,81657.0
Gorgias and Timaeus,,Plato;Benjamin Jowett,Literary Collections,2003.0,3.74,256.0,30.0
Great Russian Short Stories,,Paul Negri,Fiction,2003.0,4.0,208.0,155.0
Babbitt,,Sinclair Lewis,Fiction,2003.0,3.66,320.0,238.0
Hunger,,Knut Hamsun;George Egerton,Biography & Autobiography,2003.0,4.06,134.0,26016.0
The Jew of Malta,,Christopher Marlowe;Havelock Ellis,Drama,2003.0,3.61,80.0,2822.0
The Idiot,,Fyodor Dostoyevsky;Constance Garnett,Fiction,2003.0,4.18,540.0,66.0
Critique of Pure Reason,,Immanuel Kant;J. M. D. Meiklejohn,Philosophy,2003.0,3.94,480.0,69.0
Discourse on the Origin of Inequality,,Jean-Jacques Rousseau,Philosophy,2004.0,3.83,73.0,9630.0
The Philosophy of History,,Georg Wilhelm Friedrich Hegel;J. Sibree,Philosophy,2004.0,3.82,480.0,2678.0
Anna Karenina,,graf Leo Tolstoy;Louise Maude;Aylmer Maude,Fiction,2004.0,4.04,752.0,460.0
The Sword of Welleran,And Other Stories,Lord Dunsany,Fiction,2005.0,4.04,112.0,304.0
Paradise Lost,,John Milton;John A. Himes,Poetry,2005.0,3.81,480.0,209.0
Autobiography of Thomas Jefferson,,Thomas Jefferson,History,2005.0,3.86,112.0,598.0
Philosophy of Right,,G. W. F. Hegel;S. W. Dyde,Philosophy,2005.0,3.86,272.0,19.0
The Worm Ouroboros,,E. R. Eddison;Keith Henderson,Fiction,2006.0,3.7,446.0,2835.0
Great Speeches by African Americans,"Frederick Douglass, Sojourner Truth, Dr. Martin Luther King, Jr., Barack Obama, and Others",James Daley,Social Science,2006.0,4.29,160.0,222.0
Intimate Journals,,Charles Baudelaire;Christopher Isherwood;W. H. Auden,Literary Collections,2006.0,3.73,128.0,210.0
On the Origin of Species,By Means of Natural Selection,Charles Darwin,Science,2006.0,3.99,336.0,171.0
The Kingdom of God Is Within You,,Leo Tolstoy;Constance Garnett,Religion,2006.0,4.13,352.0,2256.0
Quicksand,,Nella Larsen,Fiction,2006.0,3.67,125.0,172.0
Sociology in Our Times,,Diana Kendall,Science,2006.0,3.22,742.0,1.0
A History of Modern Psychology,,Duane Schultz;Sydney Schultz,Psychology,2007.0,3.85,558.0,179.0
The Seventy Wonders of the Ancient World,The Great Monuments and how They Were Built,Christopher Scarre,Architecture,1999.0,4.02,304.0,31.0
Jean-Jacques Rousseau and His World,,Sir Gavin De Beer,Écrivains français - 18e siècle - Biographies,1972.0,3.2,128.0,0.0
Graphic Design,A Concise History,Richard Hollis,Art,2001.0,3.99,232.0,648.0
Greek Mythology,,Richard Buxton,,2004.0,4.23,256.0,1506.0
The Rainbow Goblins,,Ul De Rico,Juvenile Fiction,1994.0,4.42,32.0,1383.0
Big Bad Wolf,,Linda Jones;Linda Winstead,Fiction,1997.0,3.82,359.0,119.0
An Original Sin,,Nina Bangs,Fiction,1999.0,3.75,394.0,367.0
Aphrodite's Passion,,Julie Kenner,Fiction,2002.0,3.62,352.0,524.0
Call of the Moon,,Ronda Thompson,Fiction,2002.0,3.74,352.0,125.0
Love Bites,,Lynsay Sands,Fiction,2003.0,4.12,373.0,18316.0
Dancing on my grave,,Gelsey Kirkland,Biography & Autobiography,1987.0,3.79,363.0,1555.0
The Aviators,,W. E. B. Griffin,Fiction,1989.0,4.24,464.0,2503.0
The Valentine Legacy,,Catherine Coulter,Fiction,1996.0,3.88,406.0,2104.0
The Maze,,Catherine Coulter,Fiction,1998.0,4.11,339.0,12339.0
Cold Blood,,Lynda La Plante,Fiction,1999.0,3.93,462.0,11.0
Flying Finish,,Dick Francis,Fiction,1999.0,3.93,276.0,2494.0
Heart of the Sea,,Nora Roberts,Fiction,2000.0,4.15,369.0,23839.0
Out of this World,,Anonymous,Fiction,2001.0,4.07,357.0,5915.0
Beyond Seduction,,Emma Holly,Fiction,2002.0,3.69,297.0,1308.0
Shadow Game,,Christine Feehan,Fiction,2003.0,4.12,323.0,15364.0
Laurell K. Hamilton Set,"Guilty Pleasures, the Laughing Corpse, Circus of the Damned and the Lunatic Cafe",Laurell K. Hamilton,Fiction,2003.0,4.51,1256.0,3276.0
After Glow,,Jayne Castle;Jayne Ann Krentz,Fiction,2004.0,4.13,343.0,4023.0
Cravings,By Laurell K. Hamilton,MaryJanice Davidson;Eileen Wilks;Rebecca York,Fiction,2004.0,3.81,358.0,7853.0
Bite,,Charlaine Harris;MaryJanice Davidson;Angela Knight;Vickie Taylor,Fiction,2005.0,3.77,297.0,14887.0
"Incubus Dreams: An Anita Blake, Vampire Hunter Novel",,Laurell K. Hamilton,Fiction,2005.0,3.79,722.0,41105.0
Spellbound,,Nora Roberts,Fiction,2005.0,3.8,96.0,6695.0
Micah. (Anita Blake,Vampire Hunter #13). (Pbk.),Laurell K. Hamilton,"Blake, Anita (Fictitious character)",2006.0,3.63,245.0,39241.0
Ghost Hunter,,Jayne Castle,Fiction,2006.0,4.13,327.0,4246.0
Morrigan's Cross,,Nora Roberts,Fiction,2006.0,4.14,321.0,45372.0
Dance of the Gods,,Nora Roberts,Fiction,2006.0,4.14,321.0,24552.0
Valley of Silence,,Nora Roberts,Fiction,2006.0,4.22,318.0,1344.0
The Complete Science Fiction Treasury of H.G. Wells,,H. G. Wells,"Science fiction, English.",1991.0,4.13,0.0,45.0
Three Complete Novels,,Sandra Brown,Fiction,1992.0,4.21,784.0,340.0
Complete Poems,,Edgar Allan Poe,Poetry,1992.0,4.32,128.0,191.0
Three Complete Novels,,Michael Crichton,Fiction,1993.0,4.06,688.0,991.0
Three Complete Novels,,Edward Morgan Forster,English fiction,1993.0,4.2,503.0,380.0
The Complete Hans Christian Andersen Fairy Tales,,Hans Christian Andersen,Juvenile Fiction,1984.0,4.28,803.0,95929.0
Four Novels,,Charles Dickens,Fiction,1993.0,4.29,848.0,31.0
A New Collection of Three Complete Novels,,Michael Crichton,Fiction,1994.0,3.99,720.0,943.0
Jane Austen : the Complete Novels,"Pride and Prejudice, Sense and Sensibility, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady Susan",Jane Austen,England,1981.0,4.55,1103.0,264.0
Two Complete Novels,,Douglas Adams,"Detective and mystery stories, English.",1987.0,4.18,436.0,238.0
The Tolkien Companion,,J. E. A. Tyler;John Ronald Reuel Tolkien,Literary Criticism,1976.0,4.11,531.0,828.0
John Irving,Three Complete Novels,John Irving,Fiction,1995.0,3.82,718.0,296.0
The Complete Novels,,Jane Austen,Fiction,1981.0,4.55,1103.0,298.0
The Ultimate Hitchhiker's Guide,,Douglas Adams,Fiction,1996.0,4.38,815.0,2801.0
The Crossing,,Cormac McCarthy,,1996.0,4.12,425.0,226.0
The Complete Adventures and Memoirs of Sherlock Holmes,,Arthur Conan Doyle,Fiction,2001.0,4.33,334.0,2135.0
Three Terrifying Bestselling Novels,,John Saul,Fiction,1996.0,4.5,678.0,321.0
The Secret Garden,,Frances Hodgson Burnett,Juvenile Fiction,1998.0,4.13,331.0,725384.0
Three Complete Novels,,Colleen McCullough,Fiction,1999.0,3.67,768.0,40.0
Three complete novels,,Stephen King,Fiction,2002.0,4.53,1096.0,12320.0
A Christmas Carol and the Night Before Christmas,,Charles Dickens;Arthur Rackham;Clement Clarke Moore,Fiction,2006.0,4.33,156.0,85.0
Works of Jack London,,Jack London,Adventure stories,1980.0,4.19,761.0,19.0
Daphne Dumaurier,3 Complete Novels,"Outlet;Outlet Book Company Staff;Daphne du Maurier, Dam;Random House Value Publishing Staff;Rh Value Publishing",,1988.0,4.12,677.0,33.0
Favorite Tales of Sholom Aleichem,,Sholem Aleichem;Julius Butwin;Frances Butwin,Fiction,1983.0,4.23,692.0,62.0
H.G. Wells Science Fiction Treasury,,Herbert George Wells,"Science fiction, English",1984.0,3.94,688.0,17.0
Be Here Now,,Ram Dass,"Body, Mind & Spirit",2010.0,4.29,416.0,20105.0
"Classic Myths to Read Aloud: The Great Stories of Greek and Roman Mythology, Specially Arranged for Children Five and Up by an Educational Expert",,William F. Russell,Fiction,1992.0,4.09,272.0,235.0
The Illustrated Hitchhiker's Guide to the Galaxy,,Douglas Adams,Science,1994.0,4.32,96.0,286.0
China and Japan,,Donald A. Mackenzie,Travel,1988.0,3.55,404.0,19.0
The Portable James Joyce,,James Joyce,Fiction,1947.0,4.16,762.0,18.0
The Orion Mystery,Unlocking the Secrets of the Pyramids,Robert Bauval,History,1994.0,3.93,352.0,1076.0
The Pound Era,,Hugh Kenner,Literary Criticism,1973.0,4.39,624.0,591.0
The Haunted Screen,Expressionism in the German Cinema and the Influence of Max Reinhardt,Lotte H. Eisner,Performing Arts,1969.0,4.18,360.0,258.0
The Politics of Cultural Despair,A Study in the Rise of the Germanic Ideology,Fritz R. Stern,History,1974.0,4.05,367.0,90.0
Europe and the People Without History,,Eric R. Wolf,Social Science,1982.0,4.13,534.0,962.0
The Responsibility of Forms,"Critical Essays on Music, Art, and Representation",Roland Barthes,Literary Criticism,1991.0,3.94,320.0,92.0
Geisha,,Liza Crihfield Dalby,Social Science,1998.0,4.0,367.0,3646.0
Balanchine,A Biography,Bernard Taper,Biography & Autobiography,1996.0,4.31,413.0,60.0
"Haiti, History, and the Gods",,Joan Dayan,History,1998.0,3.95,362.0,37.0
Masculinity and Male Codes of Honor in Modern France,,Robert A. Nye,History,1998.0,4.36,316.0,14.0
Infections and Inequalities,The Modern Plagues,Paul Farmer,Medical,2001.0,4.08,424.0,2474.0
Undertaker of the Mind,John Monro and Mad-doctoring in Eighteenth-century England,Jonathan Andrews;Andrew T. Scull,Biography & Autobiography,2001.0,3.42,386.0,12.0
Exiled in Paris,"Richard Wright, James Baldwin, Samuel Beckett, and Others on the Left Bank",James Campbell,Biography & Autobiography,2003.0,3.97,304.0,37.0
The Whole World Is Watching,Mass Media in the Making and Unmaking of the New Left,Todd Gitlin,Political Science,2003.0,3.71,352.0,81.0
Berlioz,"Servitude and Greatness, 1832-1869",David Cairns,Biography & Autobiography,2003.0,4.27,907.0,3.0
浅草紅団,,Yasunari Kawabata,Fiction,2005.0,3.35,181.0,349.0
The Poems of Exile,Tristia and the Black Sea Letters,Ovid,History,1994.0,4.12,451.0,412.0
Pathologies of Power,"Health, Human Rights, and the New War on the Poor",Paul Farmer,History,2005.0,4.25,438.0,3802.0
Giovanni and Lusanna,Love and Marriage in Renaissance Florence,Gene Brucker,History,2005.0,3.56,160.0,250.0
World Atlas of Great Apes and Their Conservation,,Julian Oliver Caldecott;Lera Miles,Nature,2005.0,4.56,456.0,9.0
Storming the Gates of Paradise,Landscapes for Politics,Rebecca Solnit,History,2007.0,4.2,416.0,221.0
Gardening with a Wild Heart,Restoring California's Native Landscapes at Home,Judith Larner Lowry,Gardening,2007.0,4.29,267.0,11.0
Spinoza,A Life,Steven Nadler;Steven M. Nadler,Biography & Autobiography,2001.0,4.09,422.0,220.0
The Ethics and Politics of Asylum,Liberal Democracy and the Response to Refugees,Matthew J. Gibney,Law,2004.0,3.55,287.0,10.0
Insurgent Collective Action and Civil War in El Salvador,,Elisabeth Jean Wood;Wood Elisabeth Jean,History,2003.0,3.8,332.0,50.0
Who Needs Greek?,Contests in the Cultural History of Hellenism,Simon Goldhill,History,2002.0,3.4,334.0,10.0
The Presocratic Philosophers,A Critical History with a Selcetion of Texts,G. S. Kirk;J. E. Raven;M. Schofield,Philosophy,1983.0,4.24,518.0,652.0
Moral Luck,Philosophical Papers 1973-1980,Bernard Williams,Philosophy,1981.0,4.1,188.0,110.0
Evolution and the Theory of Games,,John Maynard Smith,Science,1982.0,4.0,234.0,80.0
Problems of the Self,Philosophical Papers 1956-1972,Bernard Williams,Philosophy,1976.0,4.02,276.0,52.0
The Winter's Tale,,William Shakespeare;Susan Snyder;Deborah T. Curren-Aquino,Drama,2007.0,3.69,279.0,17397.0
Tolstoy: Anna Karenina,,Anthony Thorlby,Literary Criticism,1987.0,4.19,128.0,1191.0
Reading Greek Tragedy,,Simon Goldhill;Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill,Drama,1986.0,4.04,302.0,27.0
Gabriel García Márquez: One Hundred Years of Solitude,,Michael Wood,Language Arts & Disciplines,1990.0,4.51,132.0,2899.0
"Philosophical Papers: Volume 1, Human Agency and Language",,Charles Taylor,Philosophy,1985.0,4.31,304.0,48.0
Cicero: On Duties,,Cicero;Marcus Tullius Cicero;Quintus Tullius Cicero,History,1991.0,3.95,241.0,1281.0
Hegel: Elements of the Philosophy of Right,,Georg Wilhelm Fredrich Hegel,History,1991.0,3.86,569.0,2755.0
The Collapse of Complex Societies,,Joseph Tainter,Social Science,1990.0,4.13,262.0,676.0
The Return of Grand Theory in the Human Sciences,,Quentin Skinner,History,1990.0,3.82,224.0,26.0
Fitzgerald: All The Sad Young Men,,F. Scott Fitzgerald,Fiction,2007.0,3.95,504.0,336.0
The Rise and Fall of Anne Boleyn,Family Politics at the Court of Henry VIII,Retha M. Warnicke,History,1991.0,3.95,338.0,1309.0
Numerical Recipes in C,The Art of Scientific Computing,William H. Press,C (Computer program language),1992.0,3.86,336.0,7.0
The Invention of Tradition,,"Hobsbawm, E. J. Hobsbawm;Eric Hobsbawm;Terence Ranger",History,1992.0,3.96,320.0,765.0
The Myth of the Magus,,E. M. Butler;Eliza Marian Butler,Religion,1993.0,3.71,320.0,28.0
Nations and Nationalism Since 1780,"Programme, Myth, Reality",E. J. Hobsbawm,History,1992.0,3.89,214.0,1136.0
The Cambridge Companion to Plotinus,,Lloyd Phillip Gerson;Lloyd P. Gerson,Philosophy,1996.0,4.3,480.0,20.0
Foucault's Virginity,Ancient Erotic Fiction and the History of Sexuality,Simon Goldhill;Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill,History,1995.0,3.75,212.0,11.0
Aristotle: The Politics and the Constitution of Athens,,Aristotle,History,1996.0,3.94,327.0,381.0
The Cambridge Companion to Jane Austen,,John O. Jordan,Literary Criticism,1997.0,4.08,251.0,308.0
A Midsummer Night's Dream,,William Shakespeare,Drama,2003.0,3.94,168.0,128.0
King Richard II,,William Shakespeare;Andrew Gurr,Drama,2003.0,3.77,252.0,83.0
"Hamlet, Prince of Denmark",,William Shakespeare;Philip Edwards,Drama,2003.0,4.01,270.0,141.0
Twelfth Night Or What You Will,,William Shakespeare;Elizabeth Story Donno,Drama,2004.0,3.98,186.0,58.0
Aeschylus: The Oresteia,,Simon Goldhill,Drama,2004.0,4.03,95.0,28.0
Nietzsche: Daybreak,Thoughts on the Prejudices of Morality,Friedrich Nietzsche,Philosophy,1997.0,4.17,292.0,786.0
The Tragedy of King Lear,,William Shakespeare;Jay L. Halio,Drama,2005.0,3.9,334.0,118.0
Hamlet,,William Shakespeare,Juvenile Nonfiction,2005.0,4.01,289.0,577429.0
The Cambridge Companion to Schopenhauer,,Christopher Janaway,Philosophy,1999.0,3.89,494.0,18.0
Nietzsche: The Birth of Tragedy and Other Writings,,Friedrich Nietzsche;Nietzsche Friedrich,Philosophy,1999.0,4.02,204.0,365.0
Pearl S. Buck,A Cultural Biography,Peter Conn;Peter J. Conn,Biography & Autobiography,1998.0,4.17,500.0,98.0
Practical Philosophy,,Immanuel Kant,Philosophy,1999.0,4.09,704.0,279.0
The Cambridge Companion to Cervantes,,Anthony J. Cascardi,Literary Criticism,2002.0,3.6,264.0,10.0
Introduction to Phenomenology,,Robert Sokolowski,Philosophy,2000.0,3.96,248.0,296.0
Numerical Recipes Example Book (C++),The Art of Scientific Computing,William T. Vetterling,Computers,2002.0,2.75,330.0,4.0
Jungle Love Level 5,,Margaret Johnson,Foreign Language Study,2002.0,3.37,95.0,57.0
Genres in Dialogue,Plato and the Construct of Philosophy,Andrea Wilson Nightingale,Literary Collections,2000.0,4.33,238.0,5.0
Charles Taylor,,Ruth Abbey;Lecturer in Philosophy Ruth Abbey;Cambridge University Press,History,2004.0,3.6,220.0,14.0
A First Course in String Theory,,Barton Zwiebach,Science,2004.0,4.18,578.0,172.0
Myths of the Underworld Journey,"Plato, Aristophanes, and the 'Orphic' Gold Tablets","Radcliffe G. Edmonds, III",History,2004.0,3.75,276.0,3.0
Economic Origins of Dictatorship and Democracy,,Daron Acemoglu;James A. Robinson,Business & Economics,2006.0,3.93,416.0,143.0
Triax,"Three Original Novellas by James Gunn, Keith Roberts [and] Jack Vance",Robert Silverberg,Science fiction,1977.0,3.69,214.0,4.0
Boltzmon!,,William Sleator,Juvenile Fiction,1999.0,3.65,160.0,84.0
Three Complete Novels,A Lloyd Alexander Collection,Lloyd Alexander,Juvenile Fiction,2001.0,4.24,752.0,88.0
"Boy, Were We Wrong about Dinosaurs!",,Kathleen V. Kudlinski,Juvenile Nonfiction,2005.0,3.93,32.0,243.0
The Grits (Girls Raised in the South) Guide to Life,,Deborah Ford;Edie Hand,Social Science,2003.0,3.78,249.0,62.0
Atlas Shrugged,,Ayn Rand,Fiction,2005.0,3.68,1176.0,897.0
The Woods,,Harlan Coben,Fiction,2007.0,4.04,404.0,52366.0
The Last Eyewitness,The Final Week,Chris Seay;David B. Capes;Brian McLaren,Bibles,2006.0,3.77,144.0,22.0
Data Structures and Algorithms in C++,,Adam Drozdek,Computers,2004.0,3.71,758.0,18.0
Slaughterhouse Blues,The Meat and Poultry Industry in North America,Donald D. Stull;Michael J. Broadway,Social Science,2004.0,3.48,172.0,26.0
The Illustrated Man,,Ray Bradbury,"Science fiction, American",1952.0,4.14,186.0,29.0
Strata,,Terry Pratchett,English fiction,1988.0,3.49,285.0,8754.0
A Prayer for Owen Meany,,John Irving,American fiction,1990.0,4.23,637.0,246360.0
A Tourist Guide to Lancre,,Terry Pratchett;Stephen Briggs,Fiction,1998.0,4.06,32.0,1620.0
Nanny Ogg's Cookbook,,Terry Pratchett;Stephen Briggs;Paul Kidby;Tina Hannan,Fiction,2001.0,4.0,176.0,5415.0
The Swords of Night and Day,,David Gemmell,Drenai (Imaginary place),2005.0,4.31,640.0,6690.0
Queen of Sorcery,,David Eddings,Fantasy fiction,2000.0,4.14,447.0,440.0
Castle of Wizardry,,David Eddings,Fantasy fiction,2000.0,4.17,443.0,422.0
Not Without My Daughter,,Betty Mahmoody;William Hoffer,Americans,2004.0,4.08,528.0,18937.0
Moving Pictures,,Terry Pratchett,Discworld (Imaginary place),2005.0,3.94,396.0,49516.0
Reaper Man,,Terry Pratchett,Discworld (Imaginary place),2005.0,4.29,352.0,59901.0
Lords and Ladies,,Terry Pratchett,Discworld (Imaginary place),2005.0,4.17,400.0,51212.0
Bravo Two Zero,,Andy McNab,"Persian Gulf War, 1991",2005.0,4.08,416.0,8706.0
Hogfather,,Terry Pratchett,Christmas,2006.0,4.24,432.0,56929.0
Spindle's End,,Robin McKinley,Children's stories,2003.0,3.8,464.0,184.0
Beauty,A Retelling of the Story of Beauty and the Beast,Robin McKinley,Fairy tales,2004.0,4.05,271.0,251.0
Vox,,Paul Stewart;Chris Riddell,Children's stories,2006.0,4.11,400.0,54.0
Past Mortem,,Ben Elton,Fiction,2005.0,3.74,464.0,4218.0
Popcorn,,Ben Elton,Criminals,2003.0,3.49,320.0,5213.0
Merde Actually,,Stephen Clarke,British,2006.0,3.56,447.0,2974.0
The Hotel New Hampshire,,John Irving,Fiction,1986.0,3.9,520.0,49863.0
בין אלקסרין,,Naguib Mahfouz,Arabic fiction,1994.0,4.15,498.0,261.0
The Sparrow,,Mary Doria Russell,Life on other planets,1997.0,4.17,506.0,601.0
Chocolat,,Joanne Harris,Chocolate,1999.0,3.96,320.0,94.0
Blackberry Wine,,Joanne Harris,Brewing,2001.0,3.79,334.0,484.0
The Short History of a Prince,,Jane Hamilton,Ballet dancers,1999.0,3.64,432.0,1767.0
THE HOTEL NEW HAMPSHIRE,,JOHN IRVING,,2010.0,3.83,379.0,697.0
Chocolat. Joanne Harris,,Joanne Harris,Chocolate,2000.0,3.96,320.0,2786.0
My Movie Business,A Memoir,John Irving,Cider house rules. (Motion picture),2000.0,3.33,158.0,26.0
Tales of the City,,Armistead Maupin,City and town life,2000.0,4.04,272.0,27034.0
More Tales of the City,,Armistead Maupin,City and town life,2000.0,4.19,288.0,11023.0
Further Tales of the City,,Armistead Maupin,City and town life,2000.0,4.13,271.0,9130.0
Sure of You,,Armistead Maupin,City and town life,1991.0,4.03,284.0,5370.0
Five Quarters of the Orange,,Joanne Harris,Cookery,2002.0,3.85,432.0,492.0
The Secret Dreamworld of a Shopaholic,,Sophie Kinsella,"Finance, Personal",2000.0,3.63,320.0,2069.0
Dead Famous,,Ben Elton,Fiction,2002.0,3.64,382.0,8415.0
High Society,,Ben Elton,Fiction,2003.0,3.77,380.0,5981.0
A Brief History of Time,,Stephen Hawking,Cosmology,1998.0,4.16,198.0,1524.0
Stephen Hawking's A Brief History of Time,A Reader's Companion,Stephen W. Hawking,Nature,1992.0,4.09,194.0,349.0
SeinLanguage,,Jerry Seinfeld,Humor,1993.0,3.63,180.0,359.0
Gravity's Rainbow,,Thomas Pynchon,,1974.0,4.03,887.0,144.0
The Illustrated a Brief History of Time,,Stephen Hawking,Science,1996.0,4.16,256.0,750.0
Switch on the Night,,Ray Bradbury;Leo Dillon;Diane Dillon,Juvenile Fiction,2004.0,4.09,40.0,186.0
Ragtime,,E. L. Doctorow,New York (State),1975.0,3.88,369.0,203.0
The Greatest Salesman in the World,,Og Mandino,Selling,1974.0,4.2,111.0,6.0
Encyclopedia Brown and the Case of the Treasure Hunt,,Donald J. Sobol,Juvenile Fiction,1989.0,4.03,96.0,616.0
Chicken Trek,,Stephen Manes,Contests,1989.0,4.38,128.0,93.0
Jessica's Bad Idea,,Jamie Suzanne;Francine Pascal,Juvenile Fiction,1989.0,3.48,104.0,317.0
All Fall Down,,John Saul,Fiction,1991.0,3.92,329.0,561.0
The Complete Short Stories of Mark Twain,,Mark Twain,Fiction,2005.0,4.28,848.0,5618.0
The Brothers Karamazov,,Fyodor Dostoyevsky,Fiction,1970.0,4.32,1072.0,972.0
Sherlock Holmes the Complete Novels and Stories Book Discussion Kit,Kits for Teens,Anonymous,Detective and mystery stories,2012.0,4.47,1059.0,23814.0
The Complete Plays of Aristophanes,,Aristophanes,Drama,1981.0,4.21,577.0,1954.0
Divine Comedy - Purgatorio,,Dante Alighieri,,1988.0,4.02,413.0,429.0
"Maggie, a Girl of the Streets and Other Short Fiction",,Stephen Crane,Fiction,1986.0,3.32,240.0,502.0
Journey To The Center Of The Earth,,Jules Verne,Fiction,2006.0,3.85,240.0,101764.0
Slim Down Camp,,Stephen Manes,Health & Fitness,1986.0,3.9,176.0,9.0
Emma,,Charlotte Brontë;Jane Austen,Fiction,1983.0,3.99,215.0,4672.0
Goodbye Forever,,Barbara Conklin,Juvenile Fiction,1984.0,3.72,135.0,54.0
The Broken Gun,,Louis L'Amour,Fiction,1984.0,3.75,192.0,1673.0
From Socrates to Sartre,The Philosophic Quest,T. Z. Lavine,Philosophy,1984.0,3.93,426.0,893.0
"First, last and always",,Barbara Conklin,Fiction,1985.0,3.76,160.0,65.0
Exodus,,Leon Uris,Eretz Israel,1958.0,4.34,608.0,83870.0
Fire Watch,,Connie Willis,Fiction,1998.0,3.87,288.0,3402.0
Magician,Apprentice,Raymond E. Feist,Apprentices,1985.0,4.18,336.0,611.0
Forging the Darksword,,Margaret Weis;Tracy Hickman,Fiction,1988.0,3.67,391.0,8293.0
Winter Dreams,,Barbara Conklin;Stefanie Curtis,Blind,1988.0,3.83,176.0,104.0
Shakespeare Alive!,,Joseph Papp;Elizabeth Kirkland,Drama,1988.0,3.39,240.0,162.0
The Road to Gandolfo,,Robert Ludlum,Fiction,1992.0,3.64,320.0,5142.0
Doom of the Darksword,,Margaret Weis,Fiction,1988.0,3.66,383.0,6078.0
The Delta Star,,Joseph Wambaugh,Fiction,1984.0,3.64,291.0,580.0
The House of the Spirits,,Isabel Allende,Fiction,1986.0,4.22,433.0,3598.0
Triumph of the Darksword,,Margaret Weis;Tracy Hickman,Fiction,1988.0,3.57,350.0,4720.0
Starting Over,,Francine Pascal,Juvenile Fiction,1987.0,3.37,153.0,3.0
Forbidden Love,,Kate William;Francine Pascal,Juvenile Fiction,1987.0,3.33,138.0,5.0
The New Jessica,,Francine Pascal,Juvenile Fiction,1986.0,3.45,136.0,1032.0
Double Love,,Francine Pascal;Kate William,Juvenile Fiction,1983.0,3.54,182.0,105.0
Secrets,,Francine Pascal;Kate William,Juvenile Fiction,1983.0,3.46,118.0,41.0
Narcissus and Goldmund,,Hermann Hesse,Fiction,1971.0,4.2,320.0,1107.0
Dear Sister,,Kate William;Francine Pascal,Juvenile Fiction,1984.0,3.53,160.0,2018.0
The Angry Hills,,Leon Uris,Fiction,1984.0,3.66,245.0,1133.0
I Know why the Caged Bird Sings,,Maya Angelou,Biography & Autobiography,1993.0,4.22,289.0,326424.0
Alone in the Crowd,,Francine Pascal,Juvenile Fiction,1986.0,3.45,136.0,675.0
Mitla Pass,,Leon Uris,Fiction,1989.0,3.84,495.0,3211.0
Creature,,John Saul,Fiction,1990.0,3.84,416.0,9846.0
Journey of Awakening,A Meditator's Guidebook,Ram Dass;Daniel Goleman,Self-Help,1990.0,4.16,448.0,858.0
Dragon Wing,,Margaret Weis;Tracy Hickman,Fiction,1990.0,3.95,430.0,22899.0
Texas! Lucky,,Sandra Brown,Fiction,1991.0,3.86,336.0,6808.0
22 Indigo Place,,Sandra Brown,Fiction,1991.0,3.63,200.0,2458.0
The Wakefields of Sweet Valley,,Kate William;Francine Pascal,Juvenile Fiction,1991.0,3.91,346.0,1404.0
Pebble in the Sky,,Isaac Asimov,Fiction,1991.0,3.88,308.0,13363.0
Texas! Sage,,Sandra Brown,Fiction,1992.0,4.02,352.0,5949.0
Fire Sea,,Margaret Weis;Tracy Hickman,Fiction,1992.0,4.06,414.0,15900.0
Forbidden Knowledge,The Gap Into Vision,Stephen R. Donaldson,Fiction,1992.0,3.99,480.0,4888.0
A Whole New Light,,Sandra Brown,Fiction,1992.0,3.55,227.0,2817.0
The Robots of Dawn,,Isaac Asimov,Fiction,1994.0,4.15,435.0,29837.0
Lila,An Inquiry Into Morals,Robert M. Pirsig,Education,1992.0,3.78,480.0,5131.0
The Mind's I,Fantasies and Reflections on Self and Soul,Douglas R. Hofstadter;Daniel Clement Dennett,Philosophy,1982.0,4.14,512.0,4715.0
The Glory and the Dream,"A Narrative History of America, 1932-1972",William Manchester,History,1990.0,4.42,1397.0,1370.0
